2019-08-01 10:51:54,591 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2019-08-01 10:51:54,622 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2019-08-01 10:51:54,622 INFO  Logger.cs: 73 - Commit version 1.5.0-0-g9aa0fdb
2019-08-01 10:51:54,622 INFO  Logger.cs: 74 - Build version 1.5.7004.21443
2019-08-01 10:51:54,653 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2019-08-01 10:51:54,653 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2019-08-01 10:51:54,669 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2019-08-01 11:04:04,567 INFO  SwAddin.cs: 271 - Assembly export called for file three in one.SLDASM
2019-08-01 11:04:04,569 INFO  SwAddin.cs: 276 - Save is required
2019-08-01 11:04:04,570 INFO  SwAddin.cs: 290 - Saving assembly
2019-08-01 11:04:07,601 INFO  SwAddin.cs: 293 - Opening property manager
2019-08-01 11:04:07,613 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [CoordSys] from three in one.SLDASM
2019-08-01 11:04:07,620 INFO  ExportHelperExtension.cs: 1145 - Found 49 in three in one.SLDASM
2019-08-01 11:04:07,622 INFO  ExportHelperExtension.cs: 1155 - Found 13 features of type [CoordSys] in three in one.SLDASM
2019-08-01 11:04:07,622 INFO  ExportHelperExtension.cs: 1158 - Proceeding through assembly components
2019-08-01 11:04:07,624 INFO  ExportHelperExtension.cs: 1170 - 1 components to check
2019-08-01 11:04:07,625 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [CoordSys] from three in one.IGS-1
2019-08-01 11:04:07,626 INFO  ExportHelperExtension.cs: 1145 - Found 326 in three in one.IGS-1
2019-08-01 11:04:07,634 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [CoordSys] in three in one.IGS-1
2019-08-01 11:04:07,636 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [RefAxis] from three in one.SLDASM
2019-08-01 11:04:07,637 INFO  ExportHelperExtension.cs: 1145 - Found 49 in three in one.SLDASM
2019-08-01 11:04:07,639 INFO  ExportHelperExtension.cs: 1155 - Found 13 features of type [RefAxis] in three in one.SLDASM
2019-08-01 11:04:07,639 INFO  ExportHelperExtension.cs: 1158 - Proceeding through assembly components
2019-08-01 11:04:07,640 INFO  ExportHelperExtension.cs: 1170 - 1 components to check
2019-08-01 11:04:07,641 INFO  ExportHelperExtension.cs: 1134 - Retrieving features of type [RefAxis] from three in one.IGS-1
2019-08-01 11:04:07,642 INFO  ExportHelperExtension.cs: 1145 - Found 326 in three in one.IGS-1
2019-08-01 11:04:07,650 INFO  ExportHelperExtension.cs: 1155 - Found 0 features of type [RefAxis] in three in one.IGS-1
2019-08-01 11:04:08,066 INFO  ExportPropertyManager.cs: 542 - Unknown
2019-08-01 11:04:08,074 INFO  SwAddin.cs: 316 - Loading config tree
2019-08-01 11:04:08,081 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2019-08-01 11:04:08,083 INFO  ExportPropertyManager.cs: 542 - Unknown
2019-08-01 11:04:08,084 INFO  SwAddin.cs: 321 - Showing property manager
